target_epsilon,target_delta,beta,do_floor,game_id,size_of_game,num_discard_cards,hand_p1,hand_p2,v_inf,v_1_inf,emp_sample_complexity,emp_simulation_complexity
0.01,0.05,1.1,True,6d2a8655-5e77-49c1-8864-a6b92dd9d069,100,3,"['D4', 'H5', 'H6', 'S13', 'C14']","['S2', 'D3', 'D11', 'H12', 'S12']",0.8994646044021416,72.92771840741054,237383,19523423
0.01,0.05,1.1,True,a987dfeb-431f-4ac0-8bbc-0c740563886a,100,2,"['C3', 'D4', 'H11', 'S14', 'D14']","['H4', 'D6', 'S9', 'C11', 'H14']",0.8767241181620378,35.37047513830043,237383,9813661
0.01,0.05,1.1,True,a987dfeb-431f-4ac0-8bbc-0c740563886a,100,3,"['C3', 'D4', 'H11', 'S14', 'D14']","['H4', 'D6', 'S9', 'C11', 'H14']",0.8670281295147446,51.10531304252815,237383,13932631
0.01,0.05,1.1,True,654fe7e3-aa41-4db5-a141-733a3e28cee6,100,2,"['H4', 'H5', 'S6', 'C10', 'S11']","['D2', 'S5', 'S7', 'H8', 'D9']",0.7403459500000674,65.84495245649322,196184,17730455
0.01,0.05,1.1,True,654fe7e3-aa41-4db5-a141-733a3e28cee6,100,3,"['H4', 'H5', 'S6', 'C10', 'S11']","['D2', 'S5', 'S7', 'H8', 'D9']",0.6948049326809843,61.36473411568672,178349,16529686
0.01,0.05,1.1,True,741460ec-b597-4bbd-bfed-a1955a448c0f,100,2,"['H3', 'S3', 'D3', 'H4', 'H5']","['C4', 'D5', 'H7', 'D10', 'H12']",0.9163641661304616,62.684920567473526,237383,17007307
0.01,0.05,1.1,True,741460ec-b597-4bbd-bfed-a1955a448c0f,100,3,"['H3', 'S3', 'D3', 'H4', 'H5']","['C4', 'D5', 'H7', 'D10', 'H12']",0.9258585147324844,54.89655943073244,237383,14617501
0.01,0.05,1.1,True,20dc7c2e-df22-4c3b-9490-1db058798b8a,100,2,"['D5', 'S6', 'S11', 'D11', 'D13']","['S5', 'D7', 'D8', 'S13', 'C14']",0.8283402196889067,55.23180916229269,215802,15125754
0.01,0.05,1.1,True,20dc7c2e-df22-4c3b-9490-1db058798b8a,100,3,"['D5', 'S6', 'S11', 'D11', 'D13']","['S5', 'D7', 'D8', 'S13', 'C14']",0.8290883402736466,60.124597595879486,215802,16230482
0.01,0.05,1.1,True,3d7d71a6-02fd-4bf3-b376-8abf1884a444,100,2,"['S3', 'H5', 'H10', 'S10', 'C14']","['C8', 'S9', 'C10', 'H13', 'D13']",0.8806171685410235,56.18162712239368,237383,15457265
0.01,0.05,1.1,True,3d7d71a6-02fd-4bf3-b376-8abf1884a444,100,3,"['S3', 'H5', 'H10', 'S10', 'C14']","['C8', 'S9', 'C10', 'H13', 'D13']",0.8473909784020688,59.77562788336631,237383,16250180
0.01,0.05,1.1,True,582e1131-bfe2-46b8-a8f1-80005af58dad,100,2,"['D2', 'H8', 'H10', 'S10', 'D12']","['C3', 'D6', 'S8', 'H11', 'D13']",0.7936265126712989,65.14914861443289,215802,17667865
0.01,0.05,1.1,True,582e1131-bfe2-46b8-a8f1-80005af58dad,100,3,"['D2', 'H8', 'H10', 'S10', 'D12']","['C3', 'D6', 'S8', 'H11', 'D13']",0.8957103931697604,63.51965508109844,237383,17211633
0.01,0.05,1.1,True,8022e63a-0215-4e6a-8abc-5ac2bc44fc1d,100,2,"['S2', 'H4', 'S4', 'S9', 'S14']","['C2', 'C6', 'H10', 'D10', 'H11']",0.85751786338172,63.85418462447444,237383,17270717
0.01,0.05,1.1,True,8022e63a-0215-4e6a-8abc-5ac2bc44fc1d,100,3,"['S2', 'H4', 'S4', 'S9', 'S14']","['C2', 'C6', 'H10', 'D10', 'H11']",0.8769066942660467,61.06071650135365,237383,16544593
